,Unnamed: 0,villeID,size,lat,long
557,557,Paradise,15067,10.65298,-61.36298
1224,1224,La Trinité,15040,14.73807,-60.96319
1745,1745,Villa Elisa,64099,-25.3676,-57.59274
1748,1748,Paraguarí,10079,-25.62083,-57.14722
1751,1751,Horqueta,10531,-23.34323,-57.05212
2055,2055,El Chorrillo,18302,8.94964,-79.54715
2069,2069,Pátapo,15270,-6.73315,-79.6359
2076,2076,Bagua Grande,20382,-5.75611,-78.44111
2098,2098,Jacobo Hunter,46092,-16.44083,-71.55333
2100,2100,Selva Alegre,72696,-16.37057,-71.52724
2101,2101,Santiago,64075,-13.52728,-71.9843
2656,2656,Arturo Prat,12880,-20.21169,-70.14661
2825,2825,Villa del Rosario,64951,7.83389,-72.47417
2830,2830,Sucre,23210,8.81136,-74.72084
2837,2837,San Martín,22281,3.69637,-73.69957
2840,2840,San Antero,34196,9.3741,-75.75891
2842,2842,Puerto Tejada,46215,3.23114,-76.41668
2845,2845,Pácora,13214,5.52708,-75.4593
2846,2846,Morales,18678,8.2752,-73.86884
2847,2847,Montelíbano,90450,7.97917,-75.4202
2848,2848,Lorica,40605,9.23648,-75.8135
2849,2849,Leticia,48144,-4.21528,-69.94056
2851,2851,Itagüí,281853,6.18461,-75.59913
2853,2853,Guacarí,19637,3.76383,-76.33292
2859,2859,Chinú,50743,9.10569,-75.39812
2861,2861,Calarcá,79569,4.52949,-75.64091
2863,2863,Amagá,12170,6.04001,-75.70315
2864,2864,Algarrobo,10042,10.18694,-74.57528
2865,2865,Agua de Dios,10742,4.37648,-74.66995
2867,2867,Lejanías,10576,3.52762,-74.02335
4192,4192,Mercedes,30649,-29.18416,-58.07519
4196,4196,Federación,13789,-30.99114,-57.91789
4197,4197,El Soberbio,19571,-27.29662,-54.19811
4198,4198,Dolores,25190,-36.31539,-57.67546
4199,4199,Concordia,145210,-31.39195,-58.01706
4207,4207,San Juan,109123,-31.5375,-68.53639
4208,4208,Catamarca,159139,-28.46957,-65.78524
4212,4212,Morteros,15129,-30.71164,-61.99862
4215,4215,Las Varillas,14649,-31.87208,-62.71946
4216,4216,Las Parejas,11317,-32.68478,-61.51637
4224,4224,Embarcación,23961,-23.21003,-64.09965
4227,4227,Diamante,19545,-32.0671,-60.64267
4229,4229,Córdoba,1317298,-31.4135,-64.18105
4231,4231,Añatuya,20261,-28.46064,-62.83472
4538,4538,Puerto Quijarro,10392,-17.78333,-57.76667
4539,4539,Yacuiba,82803,-22.01643,-63.67753
4542,4542,Mizque,30481,-17.94101,-65.34016
4543,4543,Bermejo,35411,-22.73206,-64.33724
4544,4544,Tutóia,12212,-2.76194,-42.27444
4546,4546,São José do Egito,18218,-7.47889,-37.27444
4547,4547,São Domingos do Maranhão,18275,-5.57583,-44.38528
4549,4549,Quixeré,11258,-5.07417,-37.98861
4550,4550,Portel,21315,-1.93556,-50.82111
4551,4551,Monteiro,17726,-7.88944,-37.12
4552,4552,Macau,18070,-5.115,-36.63444
4553,4553,Lagoa do Itaenga,17719,-7.93611,-35.29028
4554,4554,Itacoatiara,64937,-3.14306,-58.44417
4555,4555,Itapagé,32043,-3.68667,-39.58611
4556,4556,Iguatu,70380,-6.35944,-39.29861
4557,4557,Igarapé Miri,26837,-1.975,-48.95972
4559,4559,Curuçá,10843,-0.72889,-47.84806
4560,4560,Cabrobó,16096,-8.51417,-39.31
4561,4561,Boqueirão,11566,-7.48179,-36.13222
4562,4562,Bela Cruz,12715,-3.05056,-40.16778
4563,4563,Bayeux,91056,-7.125,-34.93222
4564,4564,Viradouro,17172,-20.87306,-48.29694
4565,4565,Vassouras,21174,-22.40389,-43.6625
4566,4566,Uruaçu,30088,-14.52472,-49.14083
4567,4567,Ubatuba,91824,-23.43389,-45.07111
4568,4568,Três Corações,63457,-21.69694,-45.25333
4570,4570,Sorocaba,687357,-23.50167,-47.45806
4571,4571,São Pedro,27068,-22.54861,-47.91389
4572,4572,Santa Rosa,58957,-27.87083,-54.48139
4573,4573,Salto de Pirapora,32227,-23.64889,-47.57333
4574,4574,Rubiataba,16128,-15.16444,-49.80333
4575,4575,Quirinópolis,32104,-18.44833,-50.45167
4576,4576,Porto Belo,14720,-27.15778,-48.55306
4577,4577,Pedra Azul,20899,-16.00528,-41.29722
4578,4578,Patrocínio,71963,-18.94389,-46.9925
4579,4579,Passos,98752,-20.71889,-46.60972
4580,4580,Palmital,18539,-22.78889,-50.2175
4582,4582,Nilópolis,147281,-22.8075,-43.41389
4583,4583,Mutuípe,10016,-13.22861,-39.50472
4585,4585,Medina,14686,-16.2225,-41.47694
4586,4586,Machado,33002,-21.67472,-45.91972
4587,4587,Lucélia,14806,-21.72028,-51.01889
4588,4588,Laranjal Paulista,21264,-23.04972,-47.83667
4589,4589,Joinville,461304,-26.30444,-48.84556
4591,4591,Itapeva,62957,-23.98222,-48.87556
4592,4592,Itaparica,20100,-12.88833,-38.67861
4593,4593,Itapaci,16117,-14.95083,-49.54944
4594,4594,Itajaí,155716,-26.90778,-48.66194
4595,4595,Ilhéus,155499,-14.79364,-39.03949
4597,4597,Ibicuí,10639,-14.84167,-39.98667
4599,4599,Guaratinguetá,105880,-22.81639,-45.1925
4600,4600,Flores da Cunha,20521,-29.02889,-51.18167
4601,4601,Estância Velha,40390,-29.64833,-51.17389
4602,4602,Divinópolis,193832,-20.14355,-44.89065
4603,4603,Diamantina,37343,-18.24692,-43.60345
4604,4604,Cunha,11895,-23.07444,-44.95972
4605,4605,Cubatão,118410,-23.895,-46.42528
4606,4606,Corinto,22121,-18.38083,-44.45639
4607,4607,Cordeiro,15601,-22.02861,-42.36083
4608,4608,Nova Xavantina,20639,-14.66463,-52.35558
4609,4609,Casimiro de Abreu,19087,-22.48056,-42.20417
4610,4610,Carlos Chagas,13206,-17.70306,-40.76639
4611,4611,Cachoeira,33567,-12.60139,-38.96576
4612,4612,Cabreúva,38738,-23.3075,-47.13278
4613,4613,Brusque,88284,-27.09795,-48.91281
4616,4616,Vilhena,63231,-12.74056,-60.14583
4617,4617,Pimenta Bueno,25762,-11.6725,-61.19361
4618,4618,Pinhais,117000,-25.44472,-49.1925
4619,4619,Tucumã,38508,-6.7475,-51.16111
4621,4621,Residencia Moacir PU5BHV,10000,-26.90967,-49.36547
5017,5017,Talca,197479,-35.4264,-71.65542
5018,5018,Curicó,102438,-34.98279,-71.23943
5019,5019,Copiapó,129280,-27.36679,-70.3314
5144,5144,San Fernando de Atabapo,11929,4.04564,-67.69934
5147,5147,Libertad,13251,8.32709,-69.63093
5150,5150,Ciudad Guayana,950000,8.35122,-62.64102
5152,5152,Caripito,43448,10.11135,-63.09985
5154,5154,Barcelona,815141,10.13625,-64.68618
5364,5364,Colonia del Sacramento,21714,-34.46262,-57.83976
5375,5375,Tinaquillo,115937,9.91861,-68.30472
5378,5378,Juan Griego,28256,11.08172,-63.96549
5380,5380,Araya,23693,10.57998,-64.25548
5381,5381,La Fría,43331,8.21523,-72.24888
5559,5559,Judibana,23182,11.75908,-70.18418
5560,5560,Guarenas,248588,10.47027,-66.61934
5873,5873,Rio Claro,35650,10.30594,-61.17556
6812,6812,San Antonio,55754,-25.42126,-57.54725
6814,6814,Colonia General Alfredo Stroessner,11558,-25.36395,-55.7069
7142,7142,Tocumen,50844,9.08939,-79.3831
7161,7161,Rioja,25057,-6.05675,-77.16651
7171,7171,Celendín,14660,-6.8659,-78.14585
7176,7176,Tarma,51350,-11.41899,-75.68992
7199,7199,Chilca,73371,-12.08398,-75.20263
9295,9295,Montevideo,1270737,-34.90328,-56.18816
9296,9296,Florida,32234,-34.09556,-56.21417
9304,9304,Valencia,1619470,10.16202,-68.00765
9310,9310,San Juan Bautista,90387,11.01422,-63.94383
9311,9311,Sanare,35850,9.75209,-69.6524
9312,9312,Píritu,43746,9.37083,-69.21028
9313,9313,Ospino,33547,9.29572,-69.45434
9314,9314,El Vigía,108668,8.6135,-71.65702
9315,9315,El Pao,18520,9.63926,-68.12917
9316,9316,Cúa,182558,10.16245,-66.88248
9319,9319,Cantaura,68885,9.30571,-64.35841
9320,9320,Bejuma,34618,10.17383,-68.25892
9397,9397,Paramaribo,223757,5.86638,-55.16682
9700,9700,San Miguel de Salcedo,10838,-1.04547,-78.59063
10188,10188,Cobija,26585,-11.02671,-68.76918
10189,10189,Ascención de Guarayos,18816,-15.89299,-63.18855
10190,10190,Viçosa,19573,-9.37139,-36.24083
10191,10191,Urucurituba,10180,-3.12845,-58.15856
10192,10192,Sobral,157996,-3.68611,-40.34972
10193,10193,Sirinhaém,40852,-8.59083,-35.11611
10195,10195,São José do Campestre,10254,-6.31556,-35.71389
10196,10196,Santa Rita,119893,-7.11389,-34.97806
10197,10197,Santarém,189047,-2.44306,-54.70833
10198,10198,Riachão,12427,-7.36194,-46.61722
10199,10199,Reriutaba,12076,-4.14167,-40.58222
10202,10202,Poção de Pedras,12337,-4.66667,-44.85
10204,10204,Oiapoque,21886,3.84306,-51.835
10205,10205,Garanhuns,110085,-8.88202,-36.50216
10206,10206,Extremoz,17991,-5.70556,-35.30722
10207,10207,Dom Pedro,15570,-5.03749,-44.43857
