,Unnamed: 0,villeID,size,lat,long
330,330,Sălătrucu,2251,45.33333,24.51667
331,331,Romos,2824,45.83333,23.28333
332,332,Recea Cristur,1680,47.06667,23.53333
333,333,Racoviţa,1824,45.41667,24.31667
334,334,Prundu Bârgăului,4345,47.21975,24.74123
335,335,Prăjești,2482,46.65469,26.97631
336,336,Poienile-Mogoş,1087,46.28333,23.28333
337,337,Poeni,3335,44.4,25.33333
338,338,Plopeni,1236,43.95089,28.19452
339,339,Plătăreşti,4260,44.35,26.36667
340,340,Petriș,1090,47.10301,24.62314
341,341,Pericei,2785,47.23333,22.88333
342,342,Peregu Mic,1047,46.25021,20.94885
344,344,Pădurea Neagră,1040,47.16554,22.41323
345,345,Ostrovu Mare,3479,44.37931,22.51581
346,346,Ostrov,5516,44.11667,27.36667
347,347,Orlea Nouă,1047,43.75522,24.35834
348,348,Oraşu Nou,6737,47.83333,23.28333
349,349,Orășeni-Deal,1030,47.67597,26.67671
350,350,Oprişor,3030,44.28333,23.08333
351,351,Novaci,2697,45.18333,23.66667
352,352,Negri,3101,46.7,26.96667
353,353,Neaua,1521,46.48333,24.83333
354,354,Munteni Buzău,3824,44.63333,26.98333
355,355,Muntele Mic,3541,45.38333,22.33333
356,356,Muncelu de Sus,2221,47.12384,26.73518
357,357,Motru,22319,44.80333,22.97194
358,358,Moldoveni,1516,44.71425,26.51879
359,359,Milaş,1546,46.81667,24.43333
360,360,Merișani,1248,44.11669,25.3998
361,361,Mătăsaru,5722,44.71667,25.41667
362,362,Marga,1263,45.5,22.51667
363,363,Mălini,7163,47.46667,26.08333
364,364,Lunca,4921,47.61667,26.98333
365,365,Livezeni,1370,45.03838,24.97676
366,366,Livadia,1945,45.20546,24.24192
367,367,Liubcova,1316,44.65885,21.89559
368,368,Lieşti,10956,45.61667,27.51667
369,369,Laza,6694,46.65,27.58333
370,370,Laslea,3147,46.21667,24.65
371,371,Jorăşti,1944,45.98333,27.86667
372,372,Jitia,1717,45.58333,26.71667
373,373,Jilava,12023,44.33333,26.07806
374,374,Ipatele,2095,46.91667,27.41667
375,375,Ineu,1929,46.5453,25.76357
376,376,Icuseşti,4648,46.8,26.93333
377,377,Humele,1077,44.52612,24.97714
378,378,Horezu,6743,45.15,24.01667
379,379,Hârtieşti,4913,45.11667,25.1
380,380,Hidişelu de Sus,3262,46.95,22.05
381,381,Gugești,1178,46.76342,27.9005
382,382,Glodeanu-Sărat,4683,44.86667,26.65
383,383,Gârcina,2402,46.97691,26.34573
384,384,Gâldău,1665,44.30544,27.66972
385,385,Geoagiu,5919,45.91667,23.2
386,386,Galbeni,1309,46.45661,26.94664
387,387,Fundeni,2663,44.45892,26.16565
388,388,Frăsinet,2023,44.31667,26.8
389,389,Dunăreni,1649,44.20463,27.79058
390,390,Duda,5037,46.7525,28.03722
391,391,Dranovățu,1156,44.43619,24.27894
392,392,Drăguşeni,2665,47.28333,26.48333
393,393,Dragomireşti-Vale,4330,44.475,25.935
394,394,Dragomir,1991,46.41373,26.63163
395,395,Drăghici,1184,45.12865,25.04508
396,396,Drăghiceni,1885,44.13333,24.25
397,397,Drăgăneşti de Vede,2237,44.13333,25.05
398,398,Deaj,1359,46.34711,24.40206
399,399,Dărmăneşti,7919,44.91667,25.78333
400,400,Cuzap,1309,47.20288,22.41523
401,401,Curtea,1310,45.81667,22.3
402,402,Crizbav,1373,45.81515,25.46718
403,403,Cristian,3437,45.78333,24.03333
404,404,Crevenicu,1693,44.24083,25.58861
405,405,Craidorolţ,2151,47.61667,22.7
406,406,Costişa,3540,46.75,26.65
407,407,Coşeşti,5416,45.06667,24.86667
408,408,Coşeiu,1298,47.31667,22.98333
409,409,Cornetu,5063,44.34167,25.94083
410,410,Corcova,5946,44.7,23.05
411,411,Conţeşti,3754,43.8,25.48333
412,412,Cocorăștii Mislii,1797,45.08528,25.92206
413,413,Ciuperceni,1624,44.3175,25.37869
415,415,Chiuza,2210,47.23333,24.25
416,416,Cheţani,2844,46.46667,24.03333
417,417,Cezieni,2187,44.18333,24.26667
418,418,Cetatea de Baltă,2031,46.24794,24.17244
419,419,Cergău Mare,1037,46.09869,23.92284
420,420,Celaru,5326,44.05,24.13333
421,421,Cehal,1976,47.38333,22.6
422,422,Cataloi,1289,45.09581,28.72856
423,423,Caţa,2510,46.08333,25.26667
424,424,Cărpiniș,1084,45.18407,23.58052
425,425,Butoieşti,3438,44.58333,23.36667
426,426,Buneşti,2435,46.1,25.05
427,427,Budeşti,3437,47.73333,23.95
428,428,Budeni,1433,47.41383,26.65927
429,429,Budacu de Sus,1565,47.06118,24.65752
430,430,Bucureşci,1906,46.13333,22.9
431,431,Brăneşti,8645,44.45,26.33333
432,432,Borleşti,8965,46.76667,26.48333
433,433,Bogei,1288,47.2655,22.36079
434,434,Bogdăneşti,3981,47.36667,26.28333
436,436,Boboc,1655,45.1957,26.98136
438,438,Berevoeşti,3385,45.23333,24.91667
439,439,Bechet,3824,43.78188,23.95706
441,441,Băile Borșa,1175,47.68416,24.71391
442,442,Babeţi,2835,45.31667,26.38333
443,443,Arpașu de Sus,1283,45.73436,24.61906
444,444,Argetoaia,4862,44.51667,23.36667
445,445,Aninoasa,4998,45.40924,23.31505
446,446,Anieș,1588,47.41347,24.76853
447,447,Amara,1733,45.24866,27.29244
448,448,Adunații-Copăceni,3424,44.25413,26.04929
449,449,I. C. Brătianu,1187,45.40581,28.05381
452,452,Torda,2697,45.58423,20.459
453,453,Sajan,1655,45.84227,20.27815
454,454,Radenka,1541,44.58345,21.76469
455,455,Padej,3465,45.82756,20.16279
456,456,Nova Pazova,15488,44.94366,20.21931
457,457,Adorjan,1203,46.00333,20.04007
458,458,Kuštilj,1189,45.03487,21.37989
459,459,Knićanin,2226,45.18675,20.319
460,460,Banatski Despotovac,1993,45.36606,20.66407
463,463,Lovćenac,3161,45.6816,19.69205
464,464,Krupanj,3779,44.36556,19.36194
465,465,Gakovo,2122,45.90078,19.06138
466,466,Čajetina,3162,43.74977,19.71273
467,467,Bačka Topola,16154,45.81516,19.6318
509,509,Porkhov,11886,57.76502,29.55612
510,510,Polessk,7835,54.86205,21.10279
512,512,Petrodvorets,61973,59.89565,29.80145
547,547,Kamenka,8212,60.44639,29.0829
548,548,Kaliningrad,475056,54.70649,20.51095
550,550,Gusev,28690,54.59222,22.19972
555,555,Ölüdeniz,2748,36.56674,29.14467
571,571,Pavlivka,1021,47.24189,29.56943
572,572,Ivano-Frankove,6223,49.91978,23.72913
578,578,Vylok,3136,48.11034,22.8389
580,580,Volodymyr-Volynskyi,37910,50.85253,24.32364
581,581,Vesela Dolyna,1207,46.23216,29.32385
584,584,Vapnyarka,7316,48.5311,28.747
585,585,Desna,1300,49.28166,28.54034
586,586,Svitiaz,1845,51.48211,23.85904
587,587,Sukhoverkhiv,1881,48.46199,25.75439
589,589,Sudova Vyshnia,6470,49.78892,23.37218
590,590,Stryi,61404,49.26171,23.84721
596,596,Sytkivtsi,2223,48.90932,29.19871
597,597,Shylivtsi,3028,48.4262,26.20272
600,600,Ratne,9657,51.6683,24.5303
604,604,Pasytsely,1369,47.83015,29.68384
606,606,Zviahel,55925,50.59412,27.6165
610,610,Velyki Mezhyrichi,2192,50.65431,26.86626
612,612,Larzhanka,2386,45.35492,28.71472
613,613,Letychiv,10335,49.3801,27.61889
617,617,Kozhanka,1778,49.97231,29.76424
618,618,Kornyn,1974,50.0953,29.53581
620,620,Khorostkiv,6703,49.21385,25.91964
623,623,Hrabove,1293,48.02341,29.03594
624,624,Hoshcha,5084,50.6003,26.67435
626,626,Hertsa,2118,48.14752,26.26186
627,627,Dolyns’ke,2705,45.46878,28.32553
628,628,Brody,23134,50.08791,25.15027
629,629,Bolhrad,15044,45.67786,28.61811
630,630,Bendzary,1316,47.9288,29.67703
631,631,Bilolissya,2335,45.89209,29.69894
632,632,Artsyz,14355,45.98526,29.43286
842,842,Kurortnyy,70589,60.16562,29.908
849,849,Skelleftehamn,3069,64.68333,21.23333
850,850,Kalix,7495,65.85298,23.15645
851,851,Bergsviken,2251,65.3,21.38333
852,852,Björklinge,3186,60.03004,17.55203
853,853,Vimmerby,8037,57.66588,15.85515
854,854,Vårsta,2470,59.16528,17.79722
855,855,Vargön,4981,58.35599,12.3906
856,856,Sunne,5026,59.83764,13.14302
857,857,Sundbyberg,34529,59.36128,17.97114
858,858,Storå,1967,59.71409,15.13169
859,859,Sjöbo,7910,55.63135,13.70622
860,860,Sala,13087,59.91993,16.60655
861,861,Rinkabyholm,1631,56.64972,16.26667
862,862,Perstorp,5847,56.13829,13.39476
863,863,Norrköping,93765,58.59419,16.1826
864,864,Nolby,1200,62.2875,17.36917
865,865,Marieholm,1604,55.86667,13.15
866,866,Malå,2043,65.18501,18.74243
867,867,Lysekil,7734,58.27429,11.43576
868,868,Ljunghusen,2444,55.39793,12.92486
869,869,Lindome,10942,57.56667,12.08333
870,870,Lessebo,2857,56.75185,15.26969
871,871,Kvänum,1278,58.3,13.18333
872,872,Kista,10254,59.40316,17.94479
873,873,Kilafors,1197,61.23333,16.56667
874,874,Karlshamn,20112,56.1706,14.86188
875,875,Jämjö,2629,56.19187,15.84115
876,876,Hofterup,3814,55.80485,12.9797
877,877,Hjärnarp,1095,56.31667,12.91667
878,878,Hestra,1326,57.91667,14.58333
879,879,Hallsberg,8146,59.06463,15.10993
880,880,Gamla Uppsala,16231,59.89817,17.63386
881,881,Fristad,5409,57.82483,13.01064
882,882,Färlöv,1016,56.06667,14.08333
883,883,Bara,3743,55.58155,13.17862
884,884,Ånge,2889,62.52495,15.65904
885,885,Enhagen-Ekbacken,1091,59.56543,16.53045
886,886,Åre,2768,63.39911,13.07995
888,888,Tolmin,3534,46.18304,13.73321
890,890,Spodnje Hoče,2555,46.5,15.65
893,893,Šentjernej,1434,45.84,15.33611
894,894,Lesce,2835,46.36111,14.15778
895,895,Kamnica,1638,46.57444,15.61417
898,898,Zasip,1019,46.39284,14.10869
899,899,Partizánske,24370,48.62861,18.38455
900,900,Nižná,4020,49.31046,19.52428
