,Unnamed: 0,villeID,size,lat,long
0,0,Zebulon,4964,35.82432,-78.31472
1,1,Ashland,8302,39.86317,-75.006
2,2,Echelon,10743,39.84845,-74.99572
3,3,Gloucester City,11329,39.89281,-75.12041
4,4,Haddon Heights,7514,39.87734,-75.06462
5,5,Mount Ephraim,4639,39.87845,-75.09267
6,6,North Wildwood,3901,39.00067,-74.79933
7,7,Ramblewood,5907,39.92872,-74.94378
8,8,Beckett Ridge,9187,39.347,-84.43522
9,9,Caldwell,1690,39.74785,-81.51651
10,10,Canal Winchester,7818,39.84284,-82.80462
11,11,Carlisle,5259,39.582,-84.32022
12,12,Frankfort,1065,39.40145,-83.18074
13,13,Lebanon,20623,39.43534,-84.20299
14,14,New Carlisle,5693,39.93617,-84.02549
15,15,New Lexington,4727,39.71396,-82.20848
16,16,The Plains,3080,39.36896,-82.13237
17,17,Walnut Hills,6344,39.127,-84.48411
18,18,Wyoming,8411,39.23117,-84.46578
19,19,Arkoma,1925,35.35454,-94.4341
20,20,Beggs,1247,35.7426,-96.07027
21,21,Bushyhead,1314,36.46148,-95.49414
22,22,Hall Park,1095,35.23701,-97.40642
23,23,Jones,2948,35.56589,-97.28698
24,24,Kenwood,1224,36.31453,-94.98579
25,25,Lindsay,2830,34.8348,-97.60253
26,26,Meeker,1172,35.5034,-96.9028
27,27,Perkins,2857,35.97394,-97.03364
28,28,Pryor,8708,36.30843,-95.31691
29,29,Verdigris,4351,36.23482,-95.69109
30,30,Warr Acres,10431,35.52256,-97.61893
31,31,Linwood,3281,39.8265,-75.42547
32,32,Millersville,8420,39.99788,-76.35413
33,33,Morton,2695,39.90983,-75.32352
34,34,Ridley Park,7035,39.88122,-75.3238
35,35,Whitman,49732,39.91678,-75.15546
36,36,Barnwell,4592,33.24487,-81.35872
37,37,Elgin,2607,34.67293,-80.71896
38,38,Lancaster,8956,34.72043,-80.7709
39,39,Moncks Corner,9873,33.19632,-80.01429
40,40,Newberry,10331,34.27458,-81.61872
41,41,Taylors,21617,34.92039,-82.29623
42,42,Dresden,2898,36.29145,-88.70811
43,43,Dyersburg,16781,36.03452,-89.38563
44,44,East Chattanooga,154024,35.06535,-85.24912
45,45,East Ridge,20979,35.01424,-85.2519
46,46,Fall Branch,1291,36.41816,-82.62376
47,47,Goodlettsville,16994,36.32311,-86.71333
48,48,Lewisburg,11480,35.44924,-86.78889
49,49,Loudon,5731,35.73285,-84.33381
50,50,Oliver Springs,3237,36.04452,-84.34437
51,51,Roan Mountain,1360,36.19623,-82.0704
52,52,Rutledge,1187,36.28092,-83.5149
53,53,Sweetwater,5931,35.60146,-84.46104
54,54,Anson,2334,32.7565,-99.89621
55,55,Bridgeport,6381,33.21012,-97.75476
56,56,Bruceville-Eddy,1497,31.30517,-97.25167
57,57,Cibolo,33433,29.56162,-98.22696
58,58,De Kalb,1657,33.50873,-94.61632
59,59,Double Oak,3078,33.06512,-97.11057
60,60,Floresville,7321,29.13358,-98.15612
61,61,Four Corners,12382,29.66857,-95.65772
62,62,Fredericksburg,11094,30.2752,-98.87198
63,63,Ganado,2095,29.04054,-96.51358
64,64,Garden Ridge,3850,29.63467,-98.30529
65,65,Glenn Heights,12042,32.54875,-96.85667
66,66,Haltom City,44206,32.79957,-97.26918
67,67,Hill Country Village,1067,29.58245,-98.49085
68,68,Hillsboro,8321,32.01099,-97.13001
69,69,Justin,3437,33.08484,-97.29613
70,70,Lake Dunlap,1934,29.67578,-98.07223
71,71,Liberty City,2351,32.44543,-94.94855
72,72,Lockhart,13446,29.88494,-97.67
73,73,Longview,82287,32.5007,-94.74049
74,74,Lucas,6883,33.08429,-96.57666
75,75,Muniz,1370,26.25646,-98.08945
76,76,Perezville,5376,26.22452,-98.40057
77,77,Pine Island,1076,30.058,-96.03746
78,78,Ponder,1530,33.1829,-97.28724
79,79,Round Rock,115997,30.50826,-97.6789
80,80,Scenic Oaks,4957,29.71078,-98.67586
81,81,Sherwood Shores,1190,33.85232,-96.81778
82,82,South Houston,17544,29.66301,-95.23549
83,83,Terrell Hills,5287,29.47495,-98.45085
85,85,Tyler,103700,32.35126,-95.30106
86,86,Valley Mills,1177,31.65933,-97.47224
87,87,West University Place,15741,29.71801,-95.43383
88,88,Altavista,3474,37.11181,-79.28558
89,89,Belmont,5966,39.06483,-77.50999
90,90,Cape Charles,1017,37.27008,-76.01649
92,92,Dublin,2686,37.10568,-80.68534
93,93,Front Royal,15070,38.91817,-78.19444
94,94,Gainesville,11481,38.79567,-77.61388
95,95,Lakeside,11849,37.60765,-77.47693
96,96,Massanetta Springs,4833,38.4004,-78.83419
97,97,Massanutten,2291,38.40957,-78.7378
98,98,Merrifield,15212,38.87428,-77.22693
99,99,New Baltimore,8119,38.76734,-77.72833
100,100,Short Pump,24729,37.65042,-77.61249
101,101,Stuart,1442,36.64097,-80.26561
103,103,Cross Lanes,9995,38.42037,-81.79068
104,104,Villa Ridge,2636,38.47255,-90.8868
105,105,Killingworth,6174,41.35815,-72.5637
106,106,Council Bluffs,62597,41.26194,-95.86083
107,107,Laurens,1180,42.84664,-94.85193
108,108,Lenox,1385,40.88165,-94.56191
109,109,Malvern,1117,41.00278,-95.58528
110,110,North Liberty,15931,41.74918,-91.59795
111,111,Sioux City,82821,42.49999,-96.40031
112,112,Walcott,1636,41.58475,-90.77209
113,113,Colfax,1046,40.56698,-88.61645
114,114,Country Club Hills,16795,41.56809,-87.72033
115,115,Countryside,6002,41.78281,-87.87811
116,116,DeKalb,43211,41.92947,-88.75036
117,117,El Paso,2798,40.7392,-89.01646
118,118,Elburn,5748,41.89225,-88.4723
119,119,Fisher,1959,40.31476,-88.35005
120,120,Kirkland,1734,42.09253,-88.85121
121,121,Lexington,2059,40.64142,-88.7834
122,122,Montgomery,19489,41.73058,-88.3459
123,123,Norridge,14621,41.96336,-87.82728
124,124,Northlake,12312,41.91725,-87.89562
125,125,Orland Park,58619,41.63031,-87.85394
126,126,River Grove,10219,41.92586,-87.83589
127,127,Shorewood,16747,41.52003,-88.20173
128,128,Somonauk,1877,41.63364,-88.68119
129,129,Walnut,1350,41.5567,-89.59343
130,130,Wilmette,27413,42.07225,-87.72284
131,131,Avilla,2413,41.36588,-85.23886
132,132,Farmland,1284,40.18782,-85.12747
133,133,Ogden Dunes,1115,41.62281,-87.1917
134,134,Oxford,1141,40.51976,-87.24779
135,135,Upland,3785,40.4756,-85.49442
136,136,Walkerton,2264,41.46671,-86.48307
137,137,Agawam,28761,42.06954,-72.61481
138,138,Bondsville,1812,42.21259,-72.34536
139,139,Centerville,9190,41.64872,-70.34808
140,140,Cohasset,7388,42.24177,-70.80365
141,141,Cordaville,2650,42.26898,-71.52395
142,142,East Bridgewater,14021,42.03343,-70.95921
143,143,Fitchburg,40545,42.58342,-71.8023
144,144,Framingham Center,65413,42.29732,-71.43701
145,145,Oakham,1702,42.35287,-72.04535
146,146,Onset,1573,41.74177,-70.65781
147,147,Plympton,2683,41.95288,-70.81448
148,148,Provincetown,2642,42.05295,-70.1864
149,149,Sherborn,4273,42.23899,-71.36978
150,150,Westborough,4045,42.26954,-71.61618
151,151,Winchester,21374,42.45232,-71.137
152,152,Yarmouth Port,5320,41.70205,-70.24947
153,153,Belfast,6682,44.42591,-69.00642
154,154,Belgrade,3096,44.44729,-69.83255
155,155,Denmark,1044,43.97035,-70.8034
156,156,Hiram,1479,43.87868,-70.8034
157,157,Kittery,4562,43.08814,-70.73616
158,158,Limestone,1075,46.90866,-67.82585
159,159,Mechanic Falls,2237,44.11174,-70.39172
160,160,Patten,1155,45.99644,-68.44614
161,161,Poland,5314,44.06063,-70.39367
162,162,South Berwick,7480,43.23453,-70.8095
163,163,Veazie,1813,44.83868,-68.70531
164,164,Buena Vista,6816,43.4203,-83.89858
165,165,Fennville,1400,42.59392,-86.1017
166,166,Grosse Pointe Woods,15762,42.44365,-82.90686
167,167,Hudson,2241,41.85505,-84.35384
168,168,Novi,58723,42.48059,-83.47549
169,169,Roosevelt Park,3821,43.1964,-86.27228
170,170,Spring Lake,2480,43.07696,-86.197
171,171,Springfield,5192,42.32643,-85.23916
172,172,Standish,1452,43.98308,-83.95888
173,173,Trenton,18380,42.13949,-83.17826
174,174,White Cloud,1383,43.5503,-85.772
175,175,Zeeland,5626,42.81252,-86.01865
176,176,Ada,1656,47.29969,-96.51535
177,177,Appleton,1341,45.19691,-96.01977
178,178,Bagley,1394,47.52162,-95.39835
179,179,Blaine,62124,45.1608,-93.23495
180,180,Branch,2696,45.48524,-92.96188
181,181,Brooklyn Park,79149,45.09413,-93.35634
182,182,Dassel,1437,45.08163,-94.30693
183,183,Eagle Lake,2841,44.16497,-93.88134
184,184,Excelsior,2279,44.9033,-93.56635
185,185,Hoyt Lakes,2004,47.51965,-92.13851
186,186,Lake Elmo,8406,44.9958,-92.87938
187,187,Lakefield,1656,43.67746,-95.17166
188,188,Minnetrista,7178,44.9383,-93.71774
189,189,Northfield,20380,44.4583,-93.1616
190,190,Renville,1213,44.78913,-95.21167
191,191,Saint Michael,16399,45.20996,-93.66496
192,192,Saint Paul,285068,44.94441,-93.09327
193,193,Stewartville,6037,43.85552,-92.48851
194,194,Maryville,11879,40.3461,-94.87247
195,195,Unionville,1815,40.47696,-93.00326
197,197,La Vista,16921,41.18389,-96.03113
198,198,Shelton,1064,40.77918,-98.73091
199,199,South Sioux City,13319,42.47388,-96.41364
200,200,Bedford,21188,42.94647,-71.5159
201,201,Derry,22015,42.88064,-71.32729
202,202,Enfield,1540,43.64063,-72.14398
203,203,Nottingham,3942,43.11453,-71.09978
204,204,Pembroke,7461,43.14675,-71.45757
205,205,Stratford,1003,44.65505,-71.55564
206,206,Bloomingdale,8215,41.00204,-74.32654
207,207,Brielle,4757,40.10789,-74.05653
208,208,Cedar Glen West,1267,40.04206,-74.29265
209,209,Cranford,22627,40.65844,-74.29959
210,210,Dayton,7063,40.37261,-74.51015
211,211,East Newark,2406,40.74843,-74.16181
212,212,Fairview,14451,40.8126,-73.99903
213,213,Garfield,31802,40.88149,-74.1132
214,214,Mendham,5001,40.77593,-74.60071
215,215,Oradell,8218,40.95871,-74.03681
216,216,Plainsboro Center,2712,40.33177,-74.5946
217,217,South Belmar,1789,40.17095,-74.02736
218,218,South Old Bridge,23233,40.40816,-74.35432
219,219,Strathmore,7258,40.39594,-74.21348
220,220,Alden,2589,42.90006,-78.49197
221,221,Arlington,4061,41.69593,-73.8968
222,222,Armonk,4330,41.12648,-73.71402
223,223,Blue Point,4773,40.74399,-73.03455
224,224,Bridgeport,1479,42.9159,-76.75245
225,225,Brookhaven,3451,40.77927,-72.91538
226,226,Brookville,3566,40.81316,-73.56735
227,227,Brownville,1156,44.007,-75.98409
