Geoname ID;Name;Country name EN;Population;Elevation;Coordinates
2783151;Zulte;Belgium;14670;;50.91954, 3.44859
2783264;Zétrud-Lumay;Belgium;1119;;50.75715, 4.88711
2783684;Wijnegem;Belgium;8932;;51.22787, 4.51895
2783698;Wihogne;Belgium;1209;;50.72918, 5.50484
2784180;Walem;Belgium;1988;;51.06705, 4.45842
2784508;Vladslo;Belgium;1205;;51.04644, 2.91601
2785021;Varsenare;Belgium;5081;;51.18981, 3.13916
2785047;Vance;Belgium;1177;;49.67163, 5.66571
2785094;Ursel;Belgium;2790;;51.12895, 3.48655
2785346;Tourinnes-la-Grosse;Belgium;1400;;50.78299, 4.74438
2785449;Tilff;Belgium;5455;;50.56432, 5.57642
2786046;Stevoort;Belgium;3713;;50.91862, 5.25327
2786124;Steenokkerzeel;Belgium;10566;;50.91851, 4.50989
2786717;Sint-Denijs;Belgium;2489;;50.75198, 3.36627
2786938;Schriek;Belgium;5062;;51.02844, 4.69357
2787425;Saint-Georges-sur-Meuse;Belgium;6803;;50.60007, 5.3574
2787525;Rummen;Belgium;2177;;50.88912, 5.16521
2787666;Rotem;Belgium;3710;;51.05289, 5.74096
2787711;Roselies;Belgium;2424;;50.43028, 4.57203
2788227;Rekkem;Belgium;4938;;50.7837, 3.16346
2788361;Rance;Belgium;1706;;50.14248, 4.27917
2788614;Presles;Belgium;2206;;50.38417, 4.57838
2788726;Poperinge;Belgium;19537;;50.85386, 2.72659
2788948;Pipaix;Belgium;1582;;50.58297, 3.57956
2789972;Obourg;Belgium;4429;;50.47384, 4.00881
2790235;Nevele;Belgium;11153;;51.03531, 3.54574
2790744;Montzen;Belgium;3492;;50.70793, 5.96223
2791961;Maasmechelen;Belgium;36251;;50.96545, 5.69452
2792093;Lot;Belgium;4698;;50.7679, 4.27711
2792111;Loonbeek;Belgium;1116;;50.80941, 4.60971
2792356;Lillois-Witterzée;Belgium;4350;;50.64549, 4.36681
2792893;Lembeke;Belgium;3679;;51.19487, 3.63333
2793558;La Hestre;Belgium;4890;;50.47556, 4.24739
2794895;Jodoigne;Belgium;11930;;50.72357, 4.86914
2796001;Hergenrath;Belgium;2740;;50.70912, 6.03089
2797641;Genval;Belgium;8253;;50.72162, 4.49375
