Name;Country name EN;Population;Elevation;Coordinates
Brussels;Belgium;1019022;;50.85045, 4.34878
Woluwe-Saint-Lambert;Belgium;56584;;50.84389, 4.42912
Ixelles;Belgium;86671;;50.83333, 4.36667
Saint-Gilles;Belgium;50221;;50.82763, 4.34389
Forest;Belgium;56254;;50.81678, 4.32775
Namur;Belgium;110939;;50.4669, 4.86746
Verviers;Belgium;52824;;50.58907, 5.86241
Charleroi;Belgium;200132;;50.41136, 4.44448
Leuven;Belgium;101032;;50.87959, 4.70093
La Louvière;Belgium;76668;;50.48657, 4.18785
Ostend;Belgium;69011;;51.21551, 2.927
Uccle;Belgium;82929;;50.80225, 4.33943
Seraing;Belgium;60737;;50.58362, 5.50115
Genk;Belgium;63666;;50.965, 5.50082
Brugge;Belgium;118509;;51.20892, 3.22424
Aalst;Belgium;77534;;50.93604, 4.0355
Gent;Belgium;265086;;51.05, 3.71667
Molenbeek-Saint-Jean;Belgium;97037;;50.8499, 4.31248
Hasselt;Belgium;77651;;50.93106, 5.33781
Anderlecht;Belgium;160553;;50.83619, 4.31454
Sint-Niklaas;Belgium;69010;;51.16509, 4.1437
Roeselare;Belgium;56016;;50.94653, 3.12269
Tournai;Belgium;69554;;50.60715, 3.38932
Mechelen;Belgium;77530;;51.02574, 4.47762
Mouscron;Belgium;52069;;50.74497, 3.20639
Schaerbeek;Belgium;132761;;50.86935, 4.37737
Liège;Belgium;195278;;50.63373, 5.56749
Antwerpen;Belgium;529247;;51.22047, 4.40026
Mons;Belgium;95299;;50.45413, 3.95229
Kortrijk;Belgium;73879;;50.82803, 3.26487
Jette;Belgium;52490;;50.87309, 4.33419
Deurne;Belgium;78747;;51.22134, 4.46595
