,Unnamed: 0,villeID,size,lat,long
560,560,Namanyere,28218,-7.51667,31.05
561,561,Mwaya,7558,-9.55,33.95
562,562,Mikumi,16780,-7.40409,36.98309
564,564,Magole,18753,-6.37697,37.37373
565,565,Kilindoni,12409,-7.91446,39.66204
566,566,Ilembula,18870,-8.9,34.58333
568,568,Bariadi,33865,-2.8,33.98333
569,569,Songea,286285,-10.68333,35.65
570,570,Maposeni,19472,-10.58333,35.4
639,639,Tororo,40400,0.69299,34.18085
640,640,Sironko,14000,1.23132,34.24773
642,642,Kyotera,8472,-0.61556,31.5175
643,643,Buliisa,9500,2.11781,31.41163
846,846,Al Mubarraz,290802,25.40768,49.59028
847,847,Al Mindak,9218,20.1588,41.28337
918,918,Az Zabadānī,29549,33.72488,36.1005
922,922,Moïssala,17281,8.3404,17.7663
1101,1101,Wundanyi,12501,-3.39642,38.35729
1102,1102,Pumwani,29616,-1.28333,36.85
1103,1103,Lamu,25385,-2.27169,40.90201
1129,1129,Bayān,30635,29.3032,48.04881
1154,1154,Sefikeng,5119,-29.27894,27.80765
1155,1155,Peka,5937,-28.96883,27.76258
1170,1170,Tājūrā’,100000,32.88167,13.35056
1171,1171,Zawiya,186123,32.75222,12.72778
1173,1173,Ubari,33569,26.59034,12.77511
1174,1174,Youssoufia,64910,32.24634,-8.52941
1179,1179,Settat,119082,33.00103,-7.61662
1184,1184,Figuig (Centre),12516,32.10891,-1.22855
1185,1185,Arfoud,23637,31.4353,-4.23258
1187,1187,Dakhla,55618,30.41145,-9.55344
1196,1196,Antakotako,11000,-15.31667,49.8
1707,1707,Kharbathā al Mişbāḩ,5141,31.88546,35.07185
1708,1708,Jammā‘īn,6158,32.13164,35.20403
1936,1936,Ressano Garcia,110000,-25.44278,31.99528
1940,1940,Ugep,200276,5.80865,8.08098
1941,1941,Suleja,162135,9.18059,7.17939
1942,1942,Okrika,133271,4.74215,7.08368
1946,1946,Lafia,127236,8.4939,8.51532
1947,1947,Jalingo,117757,8.89367,11.3596
1950,1950,Iperu,15935,6.91002,3.66557
1952,1952,Ijero-Ekiti,167632,7.81514,5.06716
1953,1953,Idah,68703,7.11345,6.73866
1954,1954,Holma,9199,9.89863,13.0545
1955,1955,Gombe,250258,10.28969,11.16729
1960,1960,Darazo,18415,10.9992,10.41062
1961,1961,Dambatta,8940,12.435,8.51531
1963,1963,Batsari,7445,12.75551,7.24809
2489,2489,‘Ayy,7340,31.13371,35.64375
2490,2490,Ash Shajarah,11243,32.64391,35.94175
2491,2491,‘Anjarah,17634,32.30667,35.75443
2492,2492,Ḩayy al Quwaysimah,32396,31.91037,35.94975
2602,2602,Khorramshahr,330606,30.44079,48.18428
2657,2657,Sangmélima,80036,2.93333,11.98333
2658,2658,Manjo,41740,4.8428,9.8217
2659,2659,Lagdo,33564,9.05828,13.66605
2660,2660,Dschang,99582,5.44397,10.05332
3046,3046,Wik’ro,64000,13.79525,39.60303
3047,3047,Sheno,22900,9.32936,39.29337
3048,3048,Mīzan Teferī,62000,6.99865,35.58879
3049,3049,Hāgere Hiywet,99900,8.98333,37.85
3050,3050,Gambēla,97600,8.25,34.58333
3051,3051,Dangila,56000,11.26667,36.83333
3052,3052,Āsbe Teferī,30772,9.08569,40.86708
3053,3053,Āreka,84500,7.06667,37.7
3054,3054,Alamata,70400,12.416,39.55971
3453,3453,Sefwi,14206,6.52306,-1.63596
3454,3454,Kasoa,86753,5.53449,-0.41679
3455,3455,Mampong,51745,7.06273,-1.4001
3456,3456,Domaa-Ahenkro,37354,7.27386,-2.87348
3457,3457,Akwatia,33784,6.04024,-0.80876
3467,3467,Kintinian,27969,11.6,-9.38333
3469,3469,Evinayong,8462,1.43677,10.55124
3720,3720,Zikhron Ya‘aqov,23206,32.56645,34.95628
3723,3723,maalot Tarshīhā,21836,33.01667,35.26667
3729,3729,Rama,7728,32.93844,35.3675
3734,3734,‘Isfiyā,12503,32.71836,35.06509
3835,3835,Tolga,50575,34.72224,5.37845
3836,3836,Timimoun,49237,29.26417,0.23583
3837,3837,Tebesbest,41091,33.11667,6.08333
3838,3838,Saïda,142497,34.83033,0.15171
3845,3845,Ītāy al Bārūd,77606,30.88697,30.66724
3846,3846,Darāw,61790,24.40796,32.92324
3847,3847,Abū Kabīr,154466,30.72508,31.67148
4183,4183,Cameia,14138,-11.69055,20.83922
4184,4184,Negage,92950,-7.75938,15.2722
4185,4185,Caxito,55000,-8.57848,13.66425
4186,4186,Ambriz,11640,-7.86232,13.11935
4187,4187,Caála,130000,-12.8525,15.56056
4188,4188,Bocoio,35000,-12.47017,14.13688
4189,4189,Quissecula,90000,-11.39223,15.09201
4520,4520,Orodara,33422,10.98115,-4.91885
4534,4534,Bururi,6929,-3.94877,29.62438
4535,4535,Godomè,253262,6.38948,2.34581
4536,4536,Cové,43554,7.22097,2.34017
4625,4625,Shoshong,8887,-23.0389,26.51
4626,4626,Shakawe,10589,-18.36536,21.84219
4628,4628,Orapa,8648,-21.3115,25.37642
4629,4629,Masunga,6216,-20.62455,27.44875
4630,4630,Mathangwane,5918,-21.0,27.33333
4675,4675,Watsa,47278,3.03716,29.53551
4676,4676,Mwene-Ditu,189177,-7.00906,23.45278
4677,4677,Kabare,37034,-2.49682,28.79081
4678,4678,Mokambo,34762,-12.42765,28.34684
4679,4679,Tshela,64210,-4.99707,12.9484
4680,4680,Mangina,55439,0.60419,29.31004
4681,4681,Ippy,28319,6.26793,21.22468
4682,4682,Batangafo,24119,7.30082,18.2833
4683,4683,Pointe-Noire,1032000,-4.77609,11.86352
4685,4685,Brazzaville,1982000,-4.26613,15.28318
4740,4740,Zoukougbeu,15375,6.76229,-6.8638
4742,4742,Zoroyo,10441,5.89548,-6.65079
4753,4753,Soko,8427,7.99173,-2.74435
4771,4771,Momiraso,10431,9.70654,-5.16887
4776,4776,Loviguié I,8952,5.80761,-4.33836
4780,4780,Koumoudji,5773,6.64449,-5.63742
4942,4942,Kokoumbo,10493,6.54246,-5.25925
4948,4948,Gaoulou,15794,5.03347,-6.15137
4949,4949,Gangbapleu,6803,7.74878,-7.89301
4950,4950,Faraba,7692,8.65459,-6.252
4953,4953,Diéouzon,6480,7.15575,-7.32219
4960,4960,Dabou,138083,5.32556,-4.37685
4962,4962,Brouta,5438,7.24953,-6.18451
4968,4968,Bédigoazon,12477,6.56363,-7.77749
4969,4969,Bassadzin,6322,5.93741,-3.73819
4973,4973,Assaoufoué,7624,6.57675,-4.22405
4984,4984,Alosso-II,7758,5.56437,-3.50035
