,Unnamed: 0,villeID,size,lat,long
477,477,Vostochnyy,7622,58.78811,52.24513
481,481,Urman,2509,54.88314,56.87417
485,485,Tolbazy,10183,54.02408,55.88248
501,501,Sim,15632,54.993,57.6982
502,502,Shentala,6595,54.45,51.48333
514,514,Okhansk,7920,57.7203,55.3882
521,521,Muslyumovo,7406,55.30333,53.19472
534,534,Kropachëvo,5252,55.0112,57.9896
537,537,Krasnyy Klyuch,2348,55.38625,56.65287
545,545,Karagay,6586,58.26669,54.93678
775,775,Belorechensk,1473,58.77251,52.29357
777,777,Atig,3842,56.69307,59.42271
792,792,Yemanzhelinsk,29849,54.75472,61.32083
793,793,Verkhnyaya Sinyachikha,10964,57.97604,61.66733
794,794,Uyar,13167,55.8118,94.3247
795,795,Sherkaly,1361,62.75806,65.47528
796,796,Severka,3325,56.8688,60.3015
797,797,Saranpaul’,2985,64.26102,60.90233
798,798,Rostovka,5423,55.3842,71.88913
799,799,Polunochnoye,2848,60.86972,60.41528
800,800,Pervomayskiy,5238,52.9173,81.6624
801,801,Pelym,3647,61.01083,61.99778
802,802,Novobiryusinskiy,4855,56.9578,97.7076
803,803,Novichikha,4460,52.204,81.3877
804,804,Norilsk,140800,69.3535,88.2027
805,805,Muslyumovo,4500,55.6133,61.626
806,806,Motygino,6625,58.18401,94.69339
807,807,Mishkino,8712,55.33889,63.9175
808,808,Minusinsk,72781,53.71028,91.6875
809,809,Krasnogvardeyskiy,4746,57.37928,62.31952
810,810,Klyuchi,9205,52.25303,79.16868
811,811,Isetskoye,7170,56.4858,65.3226
812,812,Choya,1930,52.0108,86.5467
813,813,Burla,4682,53.3362,78.3301
814,814,Borovikha,6712,53.5072,83.8379
815,815,Bogashevo,3773,56.36798,85.14414
816,816,Bogandinskiy,9586,56.89375,65.89378
817,817,Berëzovka,1243,52.35111,85.82722
818,818,Belyy Yar,8245,58.44472,85.0425
819,819,Lokomotivnyy,10663,53.0118,60.5684
820,820,Zabaykal’sk,10563,49.6513,117.32557
821,821,Volochayevka Vtoraya,1971,48.56695,134.58232
822,822,Verkhnevilyuysk,6341,63.44578,120.30739
823,823,Ushumun,2808,52.78633,126.53767
824,824,Tyret’ Pervaya,4082,53.67028,102.31056
825,825,Tynda,37335,55.156,124.72479
826,826,Tiksi,5700,71.69002,128.86467
827,827,Solnechnyy,13993,50.58333,137.03333
828,828,Slavyanka,14687,42.86413,131.3882
829,829,Shimanovsk,21466,52.00575,127.67756
830,830,Primorskiy,1708,43.09962,131.58938
831,831,Pivovarikha,2600,52.27056,104.44583
832,832,Novyy Zagan,2000,51.02858,107.76376
