,Unnamed: 0,villeID,size,lat,long
357,357,Motru,22319,44.80333,22.97194
368,368,Lieşti,10956,45.61667,27.51667
373,373,Jilava,12023,44.33333,26.07806
456,456,Nova Pazova,15488,44.94366,20.21931
467,467,Bačka Topola,16154,45.81516,19.6318
509,509,Porkhov,11886,57.76502,29.55612
512,512,Petrodvorets,61973,59.89565,29.80145
548,548,Kaliningrad,475056,54.70649,20.51095
550,550,Gusev,28690,54.59222,22.19972
580,580,Volodymyr-Volynskyi,37910,50.85253,24.32364
590,590,Stryi,61404,49.26171,23.84721
606,606,Zviahel,55925,50.59412,27.6165
613,613,Letychiv,10335,49.3801,27.61889
628,628,Brody,23134,50.08791,25.15027
629,629,Bolhrad,15044,45.67786,28.61811
632,632,Artsyz,14355,45.98526,29.43286
842,842,Kurortnyy,70589,60.16562,29.908
857,857,Sundbyberg,34529,59.36128,17.97114
860,860,Sala,13087,59.91993,16.60655
863,863,Norrköping,93765,58.59419,16.1826
869,869,Lindome,10942,57.56667,12.08333
872,872,Kista,10254,59.40316,17.94479
874,874,Karlshamn,20112,56.1706,14.86188
880,880,Gamla Uppsala,16231,59.89817,17.63386
899,899,Partizánske,24370,48.62861,18.38455
952,952,Oued Lill,47101,36.83408,10.04057
955,955,Bou Arada,12158,36.35251,9.62175
956,956,Seïada,12962,35.66887,10.89246
979,979,Milas,43193,37.31639,27.78389
981,981,Menemen,53489,38.60754,27.06938
990,990,Gölmarmara,12857,38.71389,27.91417
1020,1020,Gebze,281436,40.80276,29.43068
1167,1167,Valmiera,26963,57.54108,25.42751
1191,1191,Floreşti,16759,47.89137,28.29312
1192,1192,Chisinau,635994,47.00556,28.8575
1193,1193,Camenca,11072,48.03233,28.69899
1203,1203,Kičevo,31123,41.51267,20.95886
1205,1205,Berovo,13847,41.70306,22.85778
1206,1206,Арачиново,12800,42.02639,21.56194
1581,1581,Włodawa,13142,51.55,23.55
1591,1591,Sandomierz,25087,50.68265,21.74898
1599,1599,Ostrowiec Świętokrzyski,73989,50.92936,21.38525
1601,1601,Mrągowo,21965,53.86437,21.30507
1606,1606,Limanowa,14738,49.70594,20.42204
1614,1614,Giżycko,29972,54.03811,21.76441
1616,1616,Ełk,55769,53.82824,22.36469
1622,1622,Bielany,134854,52.29242,20.93531
1625,1625,Wrocław,634893,51.1,17.03333
1628,1628,Włocławek,120339,52.64817,19.0678
1630,1630,Wałcz,25971,53.27787,16.47122
1631,1631,Szczecin,407811,53.42894,14.55302
1634,1634,Świecie,25843,53.40953,18.44742
1635,1635,Świebodzice,23228,50.85974,16.31966
1644,1644,Siemianowice Śląskie,73121,50.32738,19.02901
1646,1646,Pyrzyce,12893,53.1462,14.89257
1656,1656,Nowa Sól,40354,51.80333,15.71702
1666,1666,Lubsko,14994,51.78467,14.97196
1668,1668,Łaziska Górne,21983,50.14952,18.84215
1670,1670,Kudowa-Zdrój,10176,50.44297,16.24397
1680,1680,Głogów,67317,51.66361,16.0845
1684,1684,Cieszyn,35586,49.75133,18.63213
1685,1685,Bytom,189186,50.34802,18.93282
1696,1696,Biskupin,11292,51.10097,17.10442
1720,1720,Tomar,19168,39.60199,-8.40924
1725,1725,Piedade,19472,38.67005,-9.15852
1736,1736,Ovar,18452,40.85862,-8.62513
1763,1763,Vatra Dornei,16054,47.35,25.36667
1793,1793,Satu Mare,112490,47.79926,22.86255
