,Unnamed: 0,villeID,size,lat,long
1,1,Ashland,8302,39.86317,-75.006
2,2,Echelon,10743,39.84845,-74.99572
3,3,Gloucester City,11329,39.89281,-75.12041
4,4,Haddon Heights,7514,39.87734,-75.06462
7,7,Ramblewood,5907,39.92872,-74.94378
8,8,Beckett Ridge,9187,39.347,-84.43522
10,10,Canal Winchester,7818,39.84284,-82.80462
11,11,Carlisle,5259,39.582,-84.32022
13,13,Lebanon,20623,39.43534,-84.20299
14,14,New Carlisle,5693,39.93617,-84.02549
17,17,Walnut Hills,6344,39.127,-84.48411
18,18,Wyoming,8411,39.23117,-84.46578
28,28,Pryor,8708,36.30843,-95.31691
30,30,Warr Acres,10431,35.52256,-97.61893
32,32,Millersville,8420,39.99788,-76.35413
34,34,Ridley Park,7035,39.88122,-75.3238
35,35,Whitman,49732,39.91678,-75.15546
38,38,Lancaster,8956,34.72043,-80.7709
39,39,Moncks Corner,9873,33.19632,-80.01429
40,40,Newberry,10331,34.27458,-81.61872
41,41,Taylors,21617,34.92039,-82.29623
43,43,Dyersburg,16781,36.03452,-89.38563
44,44,East Chattanooga,154024,35.06535,-85.24912
45,45,East Ridge,20979,35.01424,-85.2519
47,47,Goodlettsville,16994,36.32311,-86.71333
48,48,Lewisburg,11480,35.44924,-86.78889
49,49,Loudon,5731,35.73285,-84.33381
53,53,Sweetwater,5931,35.60146,-84.46104
55,55,Bridgeport,6381,33.21012,-97.75476
57,57,Cibolo,33433,29.56162,-98.22696
60,60,Floresville,7321,29.13358,-98.15612
61,61,Four Corners,12382,29.66857,-95.65772
62,62,Fredericksburg,11094,30.2752,-98.87198
65,65,Glenn Heights,12042,32.54875,-96.85667
66,66,Haltom City,44206,32.79957,-97.26918
68,68,Hillsboro,8321,32.01099,-97.13001
72,72,Lockhart,13446,29.88494,-97.67
73,73,Longview,82287,32.5007,-94.74049
74,74,Lucas,6883,33.08429,-96.57666
76,76,Perezville,5376,26.22452,-98.40057
79,79,Round Rock,115997,30.50826,-97.6789
82,82,South Houston,17544,29.66301,-95.23549
83,83,Terrell Hills,5287,29.47495,-98.45085
85,85,Tyler,103700,32.35126,-95.30106
87,87,West University Place,15741,29.71801,-95.43383
89,89,Belmont,5966,39.06483,-77.50999
93,93,Front Royal,15070,38.91817,-78.19444
94,94,Gainesville,11481,38.79567,-77.61388
95,95,Lakeside,11849,37.60765,-77.47693
98,98,Merrifield,15212,38.87428,-77.22693
99,99,New Baltimore,8119,38.76734,-77.72833
100,100,Short Pump,24729,37.65042,-77.61249
103,103,Cross Lanes,9995,38.42037,-81.79068
105,105,Killingworth,6174,41.35815,-72.5637
106,106,Council Bluffs,62597,41.26194,-95.86083
110,110,North Liberty,15931,41.74918,-91.59795
111,111,Sioux City,82821,42.49999,-96.40031
114,114,Country Club Hills,16795,41.56809,-87.72033
115,115,Countryside,6002,41.78281,-87.87811
116,116,DeKalb,43211,41.92947,-88.75036
118,118,Elburn,5748,41.89225,-88.4723
122,122,Montgomery,19489,41.73058,-88.3459
123,123,Norridge,14621,41.96336,-87.82728
124,124,Northlake,12312,41.91725,-87.89562
125,125,Orland Park,58619,41.63031,-87.85394
126,126,River Grove,10219,41.92586,-87.83589
127,127,Shorewood,16747,41.52003,-88.20173
130,130,Wilmette,27413,42.07225,-87.72284
137,137,Agawam,28761,42.06954,-72.61481
139,139,Centerville,9190,41.64872,-70.34808
140,140,Cohasset,7388,42.24177,-70.80365
142,142,East Bridgewater,14021,42.03343,-70.95921
143,143,Fitchburg,40545,42.58342,-71.8023
144,144,Framingham Center,65413,42.29732,-71.43701
151,151,Winchester,21374,42.45232,-71.137
152,152,Yarmouth Port,5320,41.70205,-70.24947
153,153,Belfast,6682,44.42591,-69.00642
161,161,Poland,5314,44.06063,-70.39367
162,162,South Berwick,7480,43.23453,-70.8095
