,villeID,size,lat,long
0,Zulte,14670,50.91954,3.44859
1,Zétrud-Lumay,1119,50.75715,4.88711
2,Wijnegem,8932,51.22787,4.51895
3,Wihogne,1209,50.72918,5.50484
4,Walem,1988,51.06705,4.45842
5,Vladslo,1205,51.04644,2.91601
6,Varsenare,5081,51.18981,3.13916
7,Vance,1177,49.67163,5.66571
8,Ursel,2790,51.12895,3.48655
9,Tourinnes-la-Grosse,1400,50.78299,4.74438
10,Tilff,5455,50.56432,5.57642
11,Stevoort,3713,50.91862,5.25327
12,Steenokkerzeel,10566,50.91851,4.50989
13,Sint-Denijs,2489,50.75198,3.36627
14,Schriek,5062,51.02844,4.69357
15,Saint-Georges-sur-Meuse,6803,50.60007,5.3574
16,Rummen,2177,50.88912,5.16521
17,Rotem,3710,51.05289,5.74096
18,Roselies,2424,50.43028,4.57203
19,Rekkem,4938,50.7837,3.16346
20,Rance,1706,50.14248,4.27917
21,Presles,2206,50.38417,4.57838
22,Poperinge,19537,50.85386,2.72659
23,Pipaix,1582,50.58297,3.57956
24,Obourg,4429,50.47384,4.00881
25,Nevele,11153,51.03531,3.54574
26,Montzen,3492,50.70793,5.96223
27,Maasmechelen,36251,50.96545,5.69452
28,Lot,4698,50.7679,4.27711
29,Loonbeek,1116,50.80941,4.60971
30,Lillois-Witterzée,4350,50.64549,4.36681
31,Lembeke,3679,51.19487,3.63333
32,La Hestre,4890,50.47556,4.24739
33,Jodoigne,11930,50.72357,4.86914
34,Hergenrath,2740,50.70912,6.03089
35,Genval,8253,50.72162,4.49375
36,Gentbrugge,15885,51.03692,3.76509
37,Evergem,31615,51.11306,3.70976
38,Everbeek,2124,50.7626,3.80852
39,Couture-Saint-Germain,1396,50.67484,4.47255
40,Couillet,11365,50.39139,4.45908
41,Ciney,14830,50.29449,5.10015
42,Chaumont-Gistoux,10943,50.67753,4.7212
43,Chapelle-lez-Herlaimont,14353,50.4713,4.28227
44,Bottelare,1866,50.96411,3.75487
45,Blankenberge,18000,51.31306,3.13227
46,Bissegem,5310,50.82378,3.22844
47,Bellegem,3798,50.77686,3.27933
48,Balegem,3622,50.9257,3.79076
49,Asse,28985,50.91011,4.19836
50,Antheit,4447,50.54927,5.24022
51,Han-sur-Lesse,1061,50.12674,5.18623
52,Handzame,3150,51.0254,3.0032
53,Ham-sur-Heure,4842,50.323,4.38844
54,Halle-Booienhoven,1978,50.80534,5.11173
55,Grand-Halleux,1329,50.32583,5.90722
56,Goetsenhoven,1465,50.76882,4.95157
57,Eynatten,3817,50.69243,6.08351
58,Estinnes-au-Val,7573,50.41016,4.10477
59,Embourg,6124,50.59043,5.6068
60,Desselgem,5234,50.88611,3.35958
61,Dessel,2553,51.23855,5.11448
62,Clermont-sous-Huy,1075,50.56961,5.39231
63,Brussels,1019022,50.85045,4.34878
64,Bonheiden,1840,51.02261,4.54714
65,Bierset,1465,50.65496,5.45102
66,Beverlo,8681,51.08646,5.21855
67,Beveren,2853,50.97256,3.14389
68,Bertrix,8063,49.85596,5.25539
69,Bertogne,2852,50.08364,5.66689
70,Ben-Ahin,3680,50.50415,5.18683
71,Beervelde,2772,51.08302,3.88635
72,Bachte-Maria-Leerne,2006,51.01132,3.58145
73,Autelbas,2530,49.64813,5.86799
74,Arville,1019,50.03203,5.31665
75,Arsimont,2343,50.42859,4.63872
76,Appels,2862,51.03225,4.06141
77,Anderlues,11597,50.40704,4.27136
78,Zwevegem,23358,50.81268,3.33848
79,Yves-Gomezée,1680,50.23926,4.49344
80,Woluwe-Saint-Lambert,56584,50.84389,4.42912
81,Wodecq,1376,50.71805,3.74649
82,Wezemaal,4436,50.94848,4.75536
83,Westende,5522,51.15961,2.7687
84,Waudrez,2750,50.4135,4.15051
85,Watou,1713,50.85864,2.62074
86,Waarschoot,7762,51.1525,3.605
87,Villers-le-Bouillet,6059,50.57708,5.25945
88,Trivières,3960,50.44827,4.14511
89,Tinlot,2236,50.47493,5.37755
90,Tielen,3939,51.24295,4.89956
91,Stembert,8696,50.59107,5.89404
92,Schepdaal,6004,50.83836,4.19609
93,Rupelmonde,3151,51.12931,4.29434
94,Rixensart,21616,50.71229,4.52529
95,Puurs,15944,51.07409,4.28844
96,Pont-à-Celles,15909,50.50518,4.36887
97,Petit-Rechain,3522,50.61489,5.83417
98,Oudenburg,8752,51.18489,3.00035
99,Opprebais,1596,50.67998,4.79785
100,Nijlen,20792,51.16096,4.67008
101,Naninne,1634,50.41888,4.92634
102,Moortsele,1162,50.95862,3.77753
103,Moerkerke,3576,51.24547,3.34251
104,Milmort,2507,50.69037,5.59323
105,Machelen,12252,50.91061,4.44174
106,Louvain-la-Neuve,29521,50.66829,4.61443
107,Linden,5042,50.89494,4.77027
108,Lichtaart,6212,51.22495,4.91681
109,Liberchies,1131,50.51421,4.42123
110,Lens-Saint-Remy,1204,50.65077,5.1319
111,Ledeberg,8454,51.03859,3.74458
112,Lanklaar,4453,51.01937,5.72508
113,Langemark,5079,50.9131,2.91965
114,Kumtich,2814,50.82101,4.88723
115,Kruibeke,14815,51.17048,4.31444
116,Koninksem,1336,50.76535,5.43892
117,Kanne,1186,50.81331,5.66946
118,Izegem,26382,50.91396,3.21378
119,Ixelles,86671,50.83333,4.36667
120,Heusden,8606,51.02815,3.80425
121,Herve,16544,50.64083,5.79353
122,Hensies,6390,50.43263,3.68411
123,Hallaar,3506,51.0842,4.72918
124,Haasrode,2970,50.83169,4.72953
125,Haacht,1763,50.97737,4.63777
126,Grand-Rechain,1433,50.60765,5.81108
127,Gouvy,4706,50.186,5.93917
128,Glain,2905,50.64772,5.5438
129,Gierle,4488,51.26852,4.86733
130,Francorchamps,2023,50.45353,5.95276
131,Forville,1374,50.57424,4.99861
132,Forêt,5240,50.58387,5.7
133,Fayt-lez-Manage,6040,50.48698,4.22959
134,Faulx-Les Tombes,1779,50.42708,5.02075
135,Estaimbourg,1508,50.67998,3.30785
136,Erpe,5056,50.93565,3.97219
137,Ekeren,23300,51.28087,4.41813
138,De Panne,9799,51.09793,2.59368
139,Dave,1503,50.4147,4.88789
140,Dampremy,6716,50.41705,4.43092
141,Crisnée,2587,50.71703,5.39802
142,Budingen,2569,50.86509,5.09847
143,Borchtlombeek,2380,50.8479,4.13884
144,Beloeil,13405,50.55047,3.73484
145,Anthisnes,4116,50.48323,5.519
146,Anhée,7125,50.31039,4.87827
147,Zichem,6497,51.00187,4.98316
148,Vurste,1031,50.94321,3.68307
149,Vucht,3410,50.97832,5.711
150,Vorst,6824,51.08029,5.01998
151,Vivegnis,4369,50.69243,5.64757
152,Veerle,5748,51.06989,4.98761
153,Tongerlo,1249,51.12756,5.6609
154,Tienen,31743,50.80745,4.9378
155,Thuillies,1996,50.29899,4.33269
156,Thiméon,2143,50.48951,4.42878
157,Thieusies,1025,50.51525,4.04931
158,Tavier,1173,50.49634,5.47063
159,Taintignies,2635,50.55277,3.34224
160,Stekene,16989,51.2099,4.03651
161,Sint-Gillis-bij-Dendermonde,12953,51.01905,4.11146
162,Sint-Denijs-Westrem,6419,51.02135,3.67202
163,Saint-Nicolas,22586,50.62837,5.53243
164,Saint-Gilles,50221,50.82763,4.34389
165,Polleur,2538,50.5394,5.88078
166,Ploegsteert,4352,50.72659,2.88019
167,Pamel,9241,50.8453,4.07129
168,Opitter,2543,51.11705,5.64749
169,Moorsel,5103,50.94743,4.09825
170,Mont-sur-Marchienne,12761,50.38997,4.40732
171,Moen,2729,50.77013,3.39485
172,Minderhout,4264,51.41709,4.76292
173,Mignault,1439,50.53016,4.15758
174,Meldert,1113,50.78814,4.83776
175,Marcinelle,23696,50.39216,4.44388
176,Marbais,3130,50.54652,4.53499
177,Lobbes,5467,50.35258,4.26716
178,Linkebeek,4823,50.76781,4.33688
179,Lille,15466,51.24197,4.82313
180,Liedekerke,11980,50.86892,4.08743
181,Kaprijke,6114,51.2172,3.61519
182,Jalhay,7688,50.55876,5.96764
183,Idegem,1779,50.80178,3.92595
184,Hyon,4071,50.43805,3.96031
185,Hermalle-sous-Huy,1494,50.5592,5.3639
186,Herenthout,3942,51.1401,4.75572
187,Heers,6689,50.75383,5.3021
188,Halanzy,3890,49.56052,5.74433
189,Gelbressée,1031,50.50611,4.95552
190,Forest,56254,50.81678,4.32775
191,Falisolle,3642,50.41814,4.62104
192,Essene,3445,50.90163,4.13743
193,Épinois,1704,50.406,4.20666
194,Elverdinge,1751,50.88476,2.8171
195,Court-Saint-Étienne,9353,50.63378,4.56851
196,Clermont,2439,50.65926,5.88455
197,Champion,5031,50.4953,4.90385
198,Cambron-Saint-Vincent,1010,50.58493,3.92186
199,Bornem,19997,51.09716,4.24364
200,Boekhoute,2129,51.25859,3.71783
201,Bilzen,29622,50.87325,5.5184
202,Beverst,5483,50.89091,5.47548
203,Baileux,1249,50.02877,4.37533
204,Archennes,1571,50.75261,4.66962
205,Amougies,1132,50.74446,3.50675
206,Aartselaar,14193,51.13412,4.38678
207,Zandhoven,12306,51.21488,4.66164
208,Wommelgem,11917,51.20452,4.5225
209,Winenne,1242,50.09751,4.89492
210,Webbekom,2482,50.9741,5.04032
211,Wanzele,1120,50.97425,3.95642
212,Vottem,7478,50.67155,5.57693
213,Vlimmeren,3066,51.2952,4.78128
214,Velaines,1147,50.66801,3.4866
215,Tielrode,3804,51.11303,4.17707
216,Stoumont,2970,50.40667,5.80838
217,Sint-Job-in-'t-Goor,8515,51.29907,4.57289
218,Sijsele,5348,51.20846,3.31714
219,Saint-Symphorien,3402,50.43903,4.00726
220,Ruiselede,5129,51.04039,3.39416
221,Rouvreux,1777,50.48984,5.65006
222,Rillaar,5518,50.97376,4.89177
223,Piétrain,1619,50.72532,4.92033
224,Passendale,3095,50.89979,3.02133
225,Oud-Turnhout,12354,51.31978,4.9841
226,Olsene,3936,50.93422,3.46389
227,Oekene,1689,50.91794,3.15676
228,Noville,1513,50.65984,5.38197
229,Namur,110939,50.4669,4.86746
230,Mont-Saint-Guibert,6557,50.63427,4.61061
231,Mazy,1146,50.51097,4.67374
232,Lommersweiler,1215,50.24,6.165
233,Lens,3902,50.55696,3.89946
234,Lauwe,8392,50.79479,3.1869
235,La Bouverie,7169,50.40524,3.8744
236,Korbeek-Lo,3606,50.86028,4.76274
237,Kemzeke,3621,51.20981,4.07428
238,Houthalen,30050,51.03427,5.37429
239,Hombourg,1707,50.72257,5.92051
240,Hodeige,1063,50.69635,5.34159
241,Heule,11873,50.83752,3.23818
242,Herne,6459,50.72423,4.03481
243,Herentals,25912,51.17655,4.83248
244,Zonhoven,19922,50.99064,5.36819
245,Zoersel,10000,51.26825,4.71296
246,Zelem,2917,50.97739,5.10687
247,Zarlardinge,1008,50.76214,3.8285
248,Xhoris,1645,50.44586,5.60431
249,Wijshagen,1655,51.10492,5.55788
250,Westouter,1266,50.79722,2.74647
251,Wasmuel,3262,50.44493,3.84813
252,Wardin,2539,49.99213,5.79117
253,Hastière-Lavaux,5147,50.21849,4.82446
254,Gooik,8957,50.79443,4.11378
255,Gesves,6150,50.40146,5.07457
256,Evrehailles,1940,50.32037,4.91261
257,Elsegem,1147,50.8236,3.53601
258,Eigenbilzen,2261,50.87491,5.57582
259,Dikkelvenne,2302,50.91927,3.69507
260,Diegem,5001,50.89727,4.43354
261,Clavier,4092,50.40069,5.35154
262,Chaineux,1465,50.63183,5.83478
263,Celles,1245,50.65441,5.24666
264,Bray,3015,50.43242,4.10588
265,Braine-le-Château,9627,50.6799,4.27385
266,Bierbeek,8994,50.82876,4.75949
267,Baardegem,1924,50.9548,4.14203
268,Amay,13307,50.54829,5.30974
269,Alken,10933,50.87553,5.30558
270,Voroux-lez-Liers,1084,50.68745,5.5544
271,Vilvoorde,36955,50.92814,4.42938
272,Viane,1892,50.74232,3.92478
273,Vezon,1360,50.56917,3.50469
274,Verviers,52824,50.58907,5.86241
275,Vaux-et-Borset,1028,50.61385,5.23438
276,Tohogne,1460,50.38006,5.479
277,Tisselt,3428,51.03398,4.35947
278,Thulin,2578,50.43006,3.74007
279,Thorembais-Saint-Trond,1725,50.63485,4.78406
280,Temse,26054,51.12794,4.21372
281,Templeuve,3627,50.6441,3.28013
282,Tarcienne,2229,50.31204,4.49676
283,Steendorp,3492,51.12681,4.27031
284,Soumagne,15237,50.61385,5.74679
285,Sint-Pauwels,4608,51.19391,4.09649
286,Sint-Martens-Lennik,8818,50.81158,4.16965
287,Sint-Joris-Weert,1907,50.80235,4.6526
288,Sint-Eloois-Winkel,4057,50.87591,3.18144
289,Schilde,20373,51.24107,4.58336
290,Sart-Saint-Laurent,1042,50.40236,4.74217
291,Saint-Pierre,1773,49.90376,5.3875
292,Saint-Amand,1056,50.50611,4.54988
293,Ruien,2795,50.76865,3.48581
294,Pommeroeul,2526,50.46188,3.71252
295,Plainevaux,2508,50.54562,5.52329
296,Perre,3000,50.88914,3.86098
297,Papignies,1297,50.68596,3.81783
298,Ouwegem,1608,50.91231,3.59978
299,Onhaye,3014,50.24148,4.84069
300,Noville,2099,50.06386,5.76104
301,Mopertingen,1243,50.86123,5.5759
302,Messelbroek,1945,50.9955,4.93664
303,Merelbeke,16684,50.99447,3.74621
304,Massenhoven,1172,51.20021,4.63572
305,Maisières,3985,50.4882,3.96564
306,Loverval,1881,50.37519,4.47332
307,Lembeek,7689,50.7157,4.21832
308,Ledeberg,1500,50.84356,4.09112
309,Labuissière,1140,50.31944,4.1809
310,Kieldrecht,3981,51.28914,4.17587
311,Kermt,4543,50.94757,5.24832
312,Jandrain-Jandrenouille,1188,50.67177,4.97801
313,Houtvenne,2100,51.0418,4.80863
314,Heverlee,23278,50.86426,4.69597
315,Heure-le-Romain,2124,50.73162,5.6329
316,Hakendover,1377,50.7959,4.98231
317,Haillot,1524,50.44247,5.15413
318,Gruitrode,3694,51.08936,5.58824
319,Gozée,4107,50.33461,4.35273
320,Gougnies,1025,50.35543,4.57615
321,Gottignies,2159,50.4953,4.05996
322,Geetbets,5813,50.89431,5.11199
323,Gedinne,4416,49.98037,4.93674
324,Feluy,2536,50.56258,4.25098
325,Dentergem,2600,50.96429,3.41617
326,De Klinge,3796,51.25627,4.09041
327,Deerlijk,11292,50.85337,3.35416
328,Cheratte,4689,50.68237,5.66955
329,Charleroi,200132,50.41136,4.44448
330,Breendonk,2912,51.04301,4.32364
331,Brecht,14007,51.35024,4.63829
332,Beveren-Leie,5331,50.87538,3.34034
333,Bellefontaine,1206,49.66429,5.49608
334,Aubange,14932,49.56652,5.80492
335,Anzegem,13920,50.837,3.47786
336,Ans,27297,50.6623,5.52029
337,Alsemberg,5943,50.74134,4.33754
338,Petegem-aan-de-Schelde,2060,50.83344,3.55609
339,Zuienkerke,2736,51.26511,3.15506
340,Zolder,17289,51.02455,5.30983
341,Zepperen,3577,50.82139,5.24769
342,Xhendremael,1663,50.70454,5.47984
343,Wortegem,2070,50.85357,3.51
344,Wijer,1252,50.89863,5.22446
345,Westvleteren,1150,50.92744,2.71688
346,Welkenraedt,9006,50.6605,5.97034
347,Wauthier-Braine,3651,50.68183,4.29849
348,Watermael-Boitsfort,25157,50.80154,4.41436
349,Waanrode,1919,50.91624,5.00479
350,Vinkt,1434,51.00864,3.47878
351,Torhout,18933,51.0656,3.10085
352,Tielt,5053,50.9421,4.90505
353,Suarlée,1469,50.48137,4.7792
354,Stokrooie,2047,50.96637,5.28142
355,Souvret,4158,50.4486,4.34569
356,'s-Gravenwezel,6379,51.26267,4.56113
357,Ruisbroek,7041,50.79015,4.29771
358,Robertville,2633,50.45406,6.12205
359,Pittem,6589,50.99279,3.26317
360,Overijse,23486,50.77436,4.53461
361,Outer,3221,50.84189,3.9987
362,Ophasselt,1882,50.81729,3.89293
363,Nassogne,5081,50.12849,5.34274
364,Morkhoven,2092,51.11888,4.81877
365,Melsen,1416,50.95622,3.69567
366,Meerdonk,2159,51.26667,4.15
367,Meer,3512,51.44641,4.73906
368,La Hulpe,7415,50.73091,4.48577
369,Kuringen,11409,50.94426,5.29902
370,Kortrijk-Dutsel,1722,50.92676,4.80799
371,Koekelberg,21984,50.86117,4.33136
372,Jemeppe-sur-Sambre,6127,50.46543,4.6655
373,Houyet,4505,50.18619,5.00762
374,Hognoul,1298,50.68178,5.45385
375,Heppenbach,1189,50.3626,6.21826
376,Hanret,1054,50.58155,4.9484
377,Halen,8548,50.94837,5.11096
378,Grote-Spouwen,1400,50.83283,5.55428
379,Geluveld,1652,50.83511,2.99343
380,Frasnes-lez-Buissenal,10936,50.66783,3.62047
381,Frasnes,1244,50.08022,4.51384
382,Flobecq,3142,50.73733,3.73876
383,Emblem,3796,51.16238,4.60485
384,Dinant,12875,50.25807,4.91166
385,Dilbeek,39482,50.84799,4.25972
386,Desteldonk,1046,51.12193,3.78705
387,Dalhem,6391,50.71315,5.72774
388,Corbais,1373,50.64609,4.65589
389,Chimay,9720,50.04856,4.31712
390,Cerfontaine,4500,50.17047,4.41028
391,Bossière,1030,50.5185,4.69605
392,Boncelles,5578,50.57108,5.53625
393,Beerzel,6077,51.05753,4.67127
394,Beauvechain,6334,50.78195,4.7718
395,Barry,1670,50.58771,3.54272
396,Andrimont,7064,50.61298,5.88294
397,Ampsin,3576,50.54153,5.2779
398,Zoutleeuw,7897,50.83316,5.10376
399,Zemst,21096,50.98318,4.46079
400,Zellik,10874,50.88408,4.27325
401,Xhendelesse,1729,50.60492,5.77804
402,Wellen,6804,50.84096,5.33867
403,Waremme,13737,50.6976,5.25524
404,Vliermaalroot,1321,50.86512,5.42622
405,Villers-le-Temple,1431,50.5086,5.37077
406,Vertrijk,2059,50.82925,4.8345
407,Tongrinne,1795,50.51561,4.6243
408,Slins,1301,50.72795,5.56263
409,Sint-Joris-Winge,2908,50.90446,4.8749
410,Rumillies,2818,50.62105,3.44325
411,Ransart,8813,50.46166,4.47616
412,Pont-de-Loup,2896,50.41656,4.54594
413,Ottignies,9557,50.66535,4.56679
414,Opwijk,12045,50.96724,4.18442
415,Oostmalle,7034,51.3,4.73333
416,Oostkamp,21489,51.15432,3.23128
417,Oostakker,7885,51.10124,3.76945
418,Oorbeek,1158,50.7991,4.89235
419,Okegem,2119,50.85559,4.05516
420,Ohey,4324,50.4357,5.12375
421,Nukerke,1916,50.79564,3.59492
422,Nil-Saint-Vincent-Saint-Martin,2300,50.64331,4.68172
423,Neuville,1370,50.17327,4.51598
424,Moha,1659,50.54802,5.18641
425,Melsele,10941,51.22285,4.28201
426,Marche-lez-Écaussinnes,2470,50.54601,4.1818
427,Marche-en-Famenne,16856,50.22678,5.34416
428,Lo,1179,50.98036,2.74965
429,Limerlé,1855,50.15804,5.92395
430,Landen,14458,50.75267,5.082
431,Kortenberg,17774,50.88982,4.54353
432,Koningshooikt,4280,51.09607,4.60992
433,Kessel-Lo,30215,50.88549,4.73717
434,Juprelle,8354,50.7076,5.53127
435,Jemeppe-sur-Meuse,11312,50.61701,5.49849
436,Ichtegem,13582,51.09572,3.01549
437,Huppaye,1097,50.69363,4.89415
438,Hertsberge,1970,51.10728,3.26936
439,Herstal,36503,50.66415,5.62346
440,Hannut,14129,50.67142,5.07898
441,Groot-Bijgaarden,8145,50.87174,4.24973
442,Grandhan,1593,50.32944,5.40996
443,Gosselies,11017,50.46936,4.43324
444,Goeferdinge,3088,50.76605,3.83978
445,Godveerdegem,1207,50.85932,3.82092
446,Gleixhe,1021,50.61391,5.39008
447,Forrières,1345,50.13132,5.28268
448,Éthe,1857,49.58,5.58208
449,Ernage,1188,50.59484,4.67588
450,Erbisoeul,2004,50.51523,3.89568
451,Elst,1157,50.83024,3.73921
452,Dikkebus,1489,50.82131,2.82873
453,Dhuy,1383,50.55936,4.85922
454,Cul-des-Sarts,1100,49.96248,4.45427
455,Comines,7899,50.7754,3.00119
456,Chênée,9163,50.612,5.6141
457,Buissonville,1086,50.21667,5.2
458,Braine-le-Comte,20133,50.60979,4.14658
459,Beringen,40930,51.04954,5.22606
460,Bellaire,1668,50.64453,5.66585
461,Battice,5691,50.64734,5.82104
462,Alleur,9768,50.67465,5.51316
463,Terkoest,2350,50.89832,5.27623
464,Oeselgem,1927,50.93789,3.43185
465,Nieuwrode,2796,50.95,4.83333
466,Neerijse,1789,50.81722,4.62361
467,Neerheylissem,2175,50.75839,4.9883
468,Momignies,5183,50.0271,4.16519
469,Millen,1603,50.78619,5.55616
470,Merchtem,14660,50.95129,4.23197
471,Meeuwen,5668,51.0991,5.52106
472,Maurage,5098,50.45652,4.09704
473,Maffle,1733,50.61789,3.80324
474,Machelen-aan-de-Leie,4153,50.95973,3.49046
475,Loncin,3118,50.66655,5.50509
476,Loenhout,4302,51.39947,4.64404
477,Ligny,2640,50.51244,4.57735
478,Liezele,1798,51.05998,4.28038
479,Leuven,101032,50.87959,4.70093
480,Knesselare,7889,51.13932,3.41282
481,Kettenis,4116,50.64761,6.04686
482,Ingelmunster,10603,50.92081,3.25571
483,Houwaart,1599,50.93368,4.85991
484,Houthulst,8951,50.97824,2.9505
485,Hoeilaart,10272,50.7673,4.46835
486,Heppignies,1210,50.4846,4.4953
487,Wenduine,4003,51.2983,3.08213
488,Walcourt,17501,50.25401,4.43796
489,Waha,4923,50.20915,5.34174
490,Visé,17054,50.7376,5.69907
491,Virton,11259,49.56824,5.53259
492,Villers-Perwin,1347,50.52783,4.47968
493,Trois-Ponts,2533,50.37128,5.87146
494,Trembleur,3465,50.69544,5.72604
495,Strombeek-Bever,13727,50.91039,4.35582
496,Silly,7887,50.64877,3.92363
497,Saint-Yvon,0,50.74335,2.90992
498,Saint-Vith,9135,50.28146,6.12724
499,Saint-Marc,1422,50.49218,4.84749
500,Rollegem,2770,50.76565,3.26317
501,Queue-du-Bois,2461,50.63759,5.67993
502,Peutie,2667,50.92998,4.45187
503,Outrijve,1165,50.75773,3.42964
504,Ormeignies,1119,50.59501,3.75183
505,Heist-op-den-Berg,37873,51.07537,4.72827
506,Harchies,1918,50.47963,3.69347
507,Florennes,10723,50.25127,4.60636
508,Fleurus,22080,50.48351,4.55006
509,Eugies,3160,50.38893,3.88513
510,Eke,5168,50.95929,3.6396
511,Dworp,5470,50.72983,4.30106
512,Denderhoutem,6000,50.87234,4.01821
513,Daverdisse,1299,50.02161,5.11811
514,Clabecq,4782,50.69245,4.2215
515,Chièvres,6045,50.58787,3.80711
516,Bomal,1436,50.37634,5.52382
517,Blaugies,1401,50.37218,3.80582
518,Bekegem,1060,51.15976,3.0457
519,Beauraing,8242,50.11042,4.95554
520,Astene,4935,50.98512,3.56654
521,Amblève,5221,50.35357,6.17002
522,Reuland,1592,50.19553,6.13548
523,Wortel,1832,51.39827,4.7946
524,Westrozebeke,2264,50.93178,3.01001
525,Weerde,2857,50.97345,4.47487
526,Wavreille,1026,50.12119,5.24831
527,Vollezele,1961,50.76121,4.02435
528,Viesville,2307,50.49088,4.40852
529,Uikhoven,1197,50.92386,5.71921
530,Thiaumont,1093,49.71523,5.73056
531,Tervuren,20623,50.82372,4.51418
532,Staden,10786,50.97456,3.01469
533,Sint-Jan,1016,50.86503,2.90478
534,Sart-Dames-Avelines,3015,50.56863,4.49221
535,Saint-Vaast,6351,50.45426,4.16041
536,Saint-Josse-ten-Noode,27366,50.8538,4.37282
537,Saint-Hubert,5538,50.02668,5.37401
538,Roclenge-sur-Geer,1203,50.75688,5.59444
539,Rendeux,2320,50.23423,5.50414
540,Racour,1153,50.73924,5.02806
541,Quaregnon,18491,50.44067,3.8653
542,Poppel,4024,51.44565,5.0433
543,Oud-Heverlee,10533,50.83522,4.66421
544,Ophain-Bois-Seigneur-Isaac,4255,50.66646,4.34865
545,Neerpelt,16122,51.22807,5.4427
546,Montegnée,11417,50.64576,5.51411
547,Moerbeke,2840,50.75254,3.91724
548,Meldert,2557,51.00007,5.14215
549,Marke,7575,50.80678,3.23344
550,Marche-les-Dames,1004,50.48585,4.95967
551,Loupoigne,1703,50.59806,4.44448
552,Loppem,4913,51.15662,3.19599
553,Leopoldsburg,14149,51.11667,5.25
554,Leerbeek,1214,50.77788,4.11936
555,Lauw,1031,50.73881,5.41333
556,Kozen,1633,50.8752,5.24005
557,Knokke-Heist,33781,51.35,3.26667
558,Kessel,7591,51.13892,4.62962
559,Kemmel,1157,50.78333,2.82714
560,Jurbise,9483,50.531,3.90942
561,Jeuk,1543,50.73499,5.20992
562,Jabbeke,13488,51.18185,3.08935
563,Impe,1634,50.96048,3.9501
564,Heffen,2172,51.04722,4.41599
565,Havré,6219,50.46401,4.04675
566,Haine-Saint-Paul,7268,50.46185,4.1767
567,Frameries,20598,50.40578,3.89603
568,Fexhe-le-Haut-Clocher,3082,50.6654,5.39978
569,Erquelinnes,9396,50.30688,4.11129
570,Doische,2739,50.13356,4.73545
571,Denderwindeke,3861,50.79731,4.02512
572,Cuesmes,9992,50.43624,3.92323
573,Bullange,5340,50.40731,6.25749
574,Bree,14363,51.14152,5.5969
575,Bouge,4486,50.47193,4.89218
576,Biez,1150,50.72369,4.71356
577,Bièvre,3207,49.94085,5.01591
578,Bierges,4941,50.71143,4.58658
579,Beuzet,1340,50.53364,4.7452
580,Beaufays,5489,50.55884,5.63881
581,Avelgem,9106,50.77618,3.44502
582,Autre-Église,1164,50.66921,4.90381
583,Asper,4523,50.9137,3.65126
584,Ardooie,9161,50.9757,3.19736
585,Aalter,18802,51.09017,3.44693
586,Aalbeke,2922,50.77848,3.22952
587,Zomergem,8158,51.11994,3.56496
588,Zerkegem,1791,51.16645,3.06994
589,Wihéries,2142,50.38543,3.75372
590,Wiekevorst,3589,51.10796,4.7924
591,Werchter,3572,50.97308,4.7012
592,Waregem,35896,50.88898,3.42756
593,Wambeek,2664,50.85281,4.16169
594,Houtain-l'Évêque,1409,50.71667,5.08333
595,Vorselaar,3622,51.20243,4.77259
596,Tiegem,1556,50.80901,3.47479
597,Stene,6310,51.20437,2.91259
598,Soye,1150,50.44958,4.7303
599,Somzée,1657,50.29514,4.48209
600,Sleidinge,7640,51.13363,3.67405
601,Sint-Huibrechts-Lille,3354,51.22266,5.49437
602,Schuiferskapelle,1129,51.03244,3.33799
603,Rumbeke,14265,50.93248,3.16716
604,Roux,8983,50.44111,4.3917
605,Ronquières,1369,50.60853,4.22081
606,Recogne,1810,49.91232,5.3537
607,Quenast,3226,50.66959,4.15661
608,Putte,15276,51.05337,4.63263
609,Piéton,2404,50.43972,4.29752
610,Pellenberg,2283,50.87245,4.79394
611,Ottenburg,2314,50.75161,4.6164
612,Oostrozebeke,7489,50.92093,3.33799
613,Oordegem,2990,50.95727,3.90201
614,Olne,3836,50.58994,5.74662
615,Ninove,34795,50.82776,4.02657
616,Nieuwpoort,10845,51.13008,2.75135
617,Nieuwerkerken,6174,50.92386,4.00433
618,Nederhasselt,1310,50.84646,3.97497
619,Montigny-le-Tilleul,8938,50.38056,4.37582
620,Mons-lez-Liège,4936,50.62306,5.45626
621,Moignelée,1940,50.44581,4.5837
622,Moerbeke,5855,51.17409,3.93001
623,Messancy,7144,49.59201,5.81879
624,Meerbeek,2463,50.88213,4.58972
625,Mechelen-aan-de-Maas,15374,50.96589,5.69144
626,Mater,2176,50.84321,3.66258
627,Martelange,1440,49.83195,5.73655
628,Londerzeel,1842,51.00468,4.30304
629,Linkhout,2019,50.96778,5.1374
630,Leuze,2454,50.54635,4.9063
631,Leignon,2206,50.26861,5.11045
632,La Louvière,76668,50.48657,4.18785
633,Koolskamp,2246,51.00233,3.2104
634,Klemskerke,6447,51.24222,3.02401
635,Kanegem,1179,51.0129,3.40188
636,Huldenberg,9137,50.78939,4.5831
637,Hoves,1534,50.67117,4.03651
638,Hove,7968,51.15446,4.4707
639,Hooglede,9900,50.98333,3.08333
640,Haneffe,1036,50.63835,5.32013
641,Gistel,11084,51.15612,2.96387
642,Geer,2682,50.6699,5.17364
643,Ganshoren,24859,50.87065,4.31531
