,villeID,size,lat,long
0,Brussels,1019022,50.85045,4.34878
1,Woluwe-Saint-Lambert,56584,50.84389,4.42912
2,Ixelles,86671,50.83333,4.36667
3,Saint-Gilles,50221,50.82763,4.34389
4,Forest,56254,50.81678,4.32775
5,Namur,110939,50.4669,4.86746
6,Verviers,52824,50.58907,5.86241
7,Charleroi,200132,50.41136,4.44448
8,Leuven,101032,50.87959,4.70093
9,La Louvière,76668,50.48657,4.18785
10,Ostend,69011,51.21551,2.927
11,Uccle,82929,50.80225,4.33943
12,Seraing,60737,50.58362,5.50115
13,Genk,63666,50.965,5.50082
14,Brugge,118509,51.20892,3.22424
15,Aalst,77534,50.93604,4.0355
16,Gent,265086,51.05,3.71667
17,Molenbeek-Saint-Jean,97037,50.8499,4.31248
18,Hasselt,77651,50.93106,5.33781
19,Anderlecht,160553,50.83619,4.31454
20,Sint-Niklaas,69010,51.16509,4.1437
21,Roeselare,56016,50.94653,3.12269
22,Tournai,69554,50.60715,3.38932
23,Mechelen,77530,51.02574,4.47762
24,Mouscron,52069,50.74497,3.20639
25,Schaerbeek,132761,50.86935,4.37737
26,Liège,195278,50.63373,5.56749
27,Antwerpen,529247,51.22047,4.40026
28,Mons,95299,50.45413,3.95229
29,Kortrijk,73879,50.82803,3.26487
30,Jette,52490,50.87309,4.33419
31,Deurne,78747,51.22134,4.46595
